,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97
0,2636.77828244503,2662.87156588203,2664.27191397044,2639.1819978072604,2636.26027180338,2884.5734634839205,2674.39110853853,2902.1588098824604,2715.66289301258,2637.33858777944,2634.8642470372697,2634.88218446952,2719.27092604844,2632.8784427489604,2719.86242262545,2715.545571409,2668.17499833568,2911.7094354413002,2669.6490546106697,2669.15873972156,2673.5503260451896,2910.8505560960803,,2670.03487014672,2668.45941938958,2910.96366310248,2704.60910639568,2715.59873022433,,2706.94188254351,,2712.07136908357,2713.70535193883,2703.3321784914397,,2698.6115535692898,2702.40211508445,2703.01435118765,2700.67561375713,,,,2696.79170627969,,2700.75963664595,,2696.89242696374,2698.54527931244,2694.2427212320604,,2693.26217635387,2694.76711718795,,2691.3707601821397,2693.20016966317,2691.43249250719,2681.24489427455,2693.4333224682896,,,,,2691.91584786877,2682.49599189705,2678.14644719849,2675.29215632684,2683.86096831305,,,,,2668.4012943100697,2669.00933199773,2665.0988135607604,,2670.28352008248,2679.00379174932,,,2661.18322443603,2673.2989739670497,2675.2264923357,2659.9536996352804,2658.45133029687,2658.26770907414,2668.3664670905,2670.2397817547603,2666.45898301031,2637.57458260429,2671.183523058189,2669.7772435979896,2717.67625205651,2704.3227470416896,2698.886584275,2699.02400940282,2691.98611117985,2683.4090252374,
1,2407.27359012841,2434.42565670288,2434.4363122092604,,2408.84153359732,,2445.63371004458,2448.29626313396,2482.98572801148,2408.278312093,2407.12707506024,,2485.45080866814,2407.24734158845,2485.58003073159,2482.63713037642,2435.87078163469,2436.71327235794,2434.27101345299,,2439.62675353881,2436.81169526925,2433.20942855827,,2432.72469943441,2434.15048787102,2470.17819064489,2478.4619906695802,2480.02750228893,2469.6700884196202,2473.40288457882,2478.89530959644,2478.38632659884,2473.4885508725197,2467.94619573226,,2467.55024329774,2470.32646883353,,2467.30897492988,2472.74727725588,2464.88357763588,2460.8682400429398,2463.11628670861,2465.5907535972196,2463.2206358106896,2463.087488975031,2461.76929533457,,,2460.7777781538502,2461.52721355214,2456.84561882839,2458.3340795968898,2458.0543493565,2458.94924414012,2444.0702768116603,2458.1005709233605,2462.0207271895997,,2456.75917523779,,,2446.09002721663,2443.80403154325,2438.1378473086897,2446.74404266088,2446.10382458946,,2442.53821488522,2447.2680948104503,,2432.42390329812,,,2432.0677243867103,,2469.66399086846,,2431.87457874814,2435.90561413614,2440.6565267697893,2430.360544044,2428.7447076145104,2430.17847580375,2435.16409890273,2435.85487333698,2433.72763869369,2408.4216875552397,2434.56897213669,2432.07645895001,2485.24113643087,2470.63362230068,2464.8914090048397,2462.00187731022,2457.14572942612,,2441.02157545779
2,2407.2102761515303,2435.77634625281,2434.4738704849,2411.09109054591,2408.6976574636897,2406.00041607376,,2448.18627623657,2482.71513967237,,2407.28382789042,,2485.6048459323897,2407.29600012697,2485.27183494926,2482.36664134768,2436.019839992531,2436.60500430262,2434.1236093938,2434.6869465126,2439.59877560227,2436.49599259338,2433.02356536818,2435.24428394998,2432.3523424799,2434.06596371655,2470.2974424982103,2478.3404482081,2479.7469526006,2469.9614853053,,,2478.08796539998,,,2464.24261820267,2467.7164741458605,2470.2498797685103,2464.53549035054,,,2465.14462412644,2460.79964403783,2462.99385271862,2465.1434343134197,2463.0743364718,2463.34499403823,2462.03375504897,2462.10034405948,2461.54677341808,2460.61309805853,2461.48922766015,2455.36179350083,2458.10926484395,2457.87360021433,2458.6427169643107,2444.04992302251,,,2447.90138688475,2456.6379070082603,2449.57854375852,2456.52303233989,2446.0040373959,2443.90886308647,2438.04220692384,2446.7343762432997,2445.93619906605,2446.48631548354,2442.68228877525,2447.3146415012197,2432.78887973044,2432.22262297774,,2446.4201277174398,2432.1302805024898,2442.34079852143,2469.66446455259,,2431.57613493364,2436.06264290947,2440.4944620831398,2430.0655723137397,2428.5190961249104,2429.98136438716,,2436.16172727488,2433.91881489397,2408.48190080738,2434.644148980861,2432.40046281152,,,2464.717794690189,2462.24368673774,2457.15269367283,2445.03334708404,2440.6017272713502
3,2526.8354534687196,2562.74127738796,,,2527.51459766163,2525.57077872355,2582.4923887571,2584.69578001071,2609.1137577585896,2526.9209671006893,2524.5396637794397,,,,2613.08820703228,2608.65268946252,2542.66797248381,,2540.79169871401,,2547.09229145744,,,2541.98522879285,2540.36770948427,2541.3359327857397,2588.1834932675,2603.85655079338,2601.5421009301604,2591.48078061691,2593.31936969125,2603.10491276028,2601.91078963495,2592.62060749399,2587.38974734417,,2586.72440051552,,2584.3368182811,2585.01394237257,2592.581889574861,2585.0289719654397,2576.7905872563197,2580.64459696349,2584.0100810221898,2580.34580464164,2580.32787817902,2580.3513584687603,2579.1014472848997,,2577.16342599367,2579.39017287324,2572.553967008131,2572.966766298,,2573.3596872543803,2557.26241513132,,2577.4317074225,2560.52408615183,2571.36296270285,2563.4434136902105,2570.3151715179397,2557.90059705657,2555.1524742811803,2549.07353900445,2560.1019392397798,2559.16181623762,2557.86653921758,2554.39937591992,2556.69582067359,2540.29801517395,2540.91267890201,,2556.72895107985,,2553.31429102322,2592.85882652992,2554.99610162326,2562.2171170202,2544.21345862222,2548.84173646054,2557.69952768784,,2558.82872730208,2542.98853153251,2544.25947607576,2563.400239004511,2527.49805999065,2542.99446605529,,2610.19135417286,,2582.6576760228,2579.3059849601,2572.4564301348,2557.82236954994,2553.27839440727
4,1980.3808958086101,2030.3618168143805,2030.8543867672101,1983.62683758215,,1981.2080934168,,,,,1976.2557655998496,1981.43576664445,2149.52608423438,1978.4180604053101,,2148.73985407573,2059.80670002015,2064.0106318026396,,2061.31868911025,2064.60723569766,2063.84706508658,2057.4485918988603,2058.31695140915,2063.6576118184603,,,,2137.9896313035197,2125.10740921109,2125.2745083737,2142.05738492167,2138.8639534858,,,,2117.49391014948,,2114.69132876469,2115.30297266916,,2113.28433296585,2108.0455430268803,2107.68459182468,2119.12330317453,2112.5255090116298,2112.07207838662,2111.70403754058,2109.71610745323,2100.6840386559,2104.78605688678,2106.25077305076,2100.4357823810396,2101.10357812587,2105.55814470204,2101.49286882104,2079.54734398405,2099.22137513977,2107.6145470614497,,,2086.7925252856,,2083.53486332984,,,2084.74997845877,2085.46740721308,2083.65305251957,2072.45086153948,2080.85088833815,2061.05276403119,2061.4517143164107,2055.30629052915,2080.85657145243,2061.79653475753,,2126.53052663127,,2023.57124853462,2060.9758586779503,2067.81395950962,2025.71397532875,2026.7341480802106,2024.75109997468,2062.78870620441,,2026.63813797031,1977.92805641841,2062.9199719090802,2062.66385351713,2144.8813554111302,2123.78408089803,2112.7290590943803,2106.51222739611,2103.53840470638,2083.46412588178,2074.7331908204897
5,2454.64503570381,2485.1396060865,2485.454759134,,,2453.8133544842003,,2499.01959531501,,2454.8164149314607,2453.31979285783,,,2453.51903217581,2526.6125357017,2522.73591235073,2471.07052193339,2472.7755843246,2470.42446410435,2470.71220388867,2476.07246855279,,2469.670364988481,2470.51948679203,2467.5142412105397,,2509.0459804046,2518.79077397311,2518.09516073255,2509.2436160715397,2511.48964416962,2517.7970541064897,2519.52861396887,2684.57147441285,2621.14096880841,2501.8360616662303,2506.85857326428,2508.73631348549,2503.78984473298,2505.515686228189,2511.84036265925,2504.44653135985,2613.1645404345604,2502.32463784096,2683.45358463651,2616.008540290761,2502.1073060787803,2616.15115891359,2613.6790127794,2499.2376863261397,,,2495.0958470091,2495.7776739552696,2495.99757658033,2496.17044322333,2482.3895620741396,2674.6085948505397,,2485.2389702268,2494.38337225064,2665.83438626672,2494.0861649898,,2659.94281417945,2473.9575125276,,2662.27398703329,2483.29468572846,2480.11654366719,2483.56165839989,2469.06292045298,,2465.1784046625,2482.73688433821,2468.32125036837,2479.18269503969,2515.84269821399,2481.4831347755803,2483.50438303684,2470.11901349108,2476.72692094328,2663.97613777504,2480.9778325849497,2481.30826438494,2471.3394714773003,2472.49416575468,2485.59439180305,2455.12835785867,,2470.79679278375,,2509.1641461666395,2504.16994816575,2500.915827489611,2494.36774705602,2482.31284479761,
6,,1066.45712919184,1070.0350923345402,1056.11630037408,,,1058.15037280745,1059.01442622085,1098.91750009091,1056.17168895593,1052.58479300694,1053.6163366467,1094.97589623253,1056.24787407759,1091.11760001147,1095.8227489011801,1084.9686134664998,1092.08245600876,1088.06769087291,,1093.11035326301,1081.1747500789,,1087.5950766335302,,1084.93690145284,1096.27920346063,1096.21799277606,1093.60215649003,1094.09837840629,,1093.71038102592,1093.19728737833,1096.0671713935699,1105.46148517452,1099.2232956904,1098.6870982541802,1096.55099235019,1098.45005021516,1098.0173273779699,1100.74720178016,1096.83252882091,1099.66663768763,1101.90584106336,1101.5471528222802,1100.48947038314,1100.32390993846,1096.63649767737,1097.94599767521,1098.6798206525,1100.83524951953,1100.10474298539,,1094.95339080084,1101.63071190852,1096.78416647996,1089.1590002824698,,1104.3358748337,1091.1484919755999,1108.3875980681598,1093.65476521235,,1091.5674480590599,1091.26936883128,1089.2715060447804,1092.35385665574,,,1089.267652039,1094.0806758928802,1079.36925036664,1082.78988042682,1079.8363397400801,1091.8947504534501,1081.48006532577,1089.70496075083,1153.87287866175,1086.80700798286,1059.9807969943402,,1086.74461067315,1064.87084610189,1059.98297817569,1057.26325264368,,1085.89563701798,1062.24605493675,,1083.73353512485,1088.74308740411,1091.21055919161,1097.71010488263,1099.3044339902099,,1099.89906885036,1090.2219268353501,1085.7559123400802
7,2454.64503570381,2485.1396060865,2485.4545618242,2457.28927614626,,2453.8133544842003,2496.88572119246,2499.01959531501,,2454.8164149314607,,2453.171414589611,2524.53480121188,2453.51903217581,2526.6125357017,2522.73591235073,2471.07052193339,2472.7755843246,2470.42446410435,,2476.07246855279,2472.7798056047304,2469.670364988481,,2467.5142412105397,2470.18297354831,,,2518.09516073255,2509.24358711781,2687.1664718914003,,2519.52861451999,2511.8508267993398,,2501.8360616662303,2506.85857326428,2508.7363017082002,,2505.515686228189,2511.84036265925,2504.44653135985,,2502.32463784096,,2501.1333142323997,2677.5361431662,2678.44590639443,2499.33232768206,2499.2376863261397,2498.67593151744,2501.0220147464997,2495.0958470091,2495.7776739552696,2495.99757658033,2496.17044322333,,,2676.40926453606,2663.54708975584,2673.84232735486,2665.83438626672,2672.47411977594,,2659.94281417945,2654.9463547524,2664.6943004376103,,2483.29468572846,,2662.0787915385604,2469.06292045298,2468.69713383963,2465.1784046625,2482.73688433821,2468.32125036837,,2515.84269821399,2481.4831347755803,2483.50438303684,,2476.72692094328,2480.78228436306,2480.9778325849497,2481.30826438494,2471.3394714773003,2472.49416575468,,2455.12835785867,2469.84439983932,2470.79679278375,2525.86640989213,2509.16416098665,2504.16994816575,2500.9158320287697,2494.36774705602,2482.31284479761,2478.5142363805107
8,1362.35226548226,1383.31834592332,,1363.09546178931,1365.03873787601,,1388.2078840881195,,1425.4872345717804,,1360.41042469036,,,1363.2057359094804,1431.78667683905,1425.2441428797101,1391.39155353159,1398.2870179499698,1393.6547250399499,1386.1288747218396,1399.00381903388,1390.90252104611,1389.9227958013098,1393.3829142205402,1392.24096449717,1389.5081919305499,1417.87451423143,1421.99382592585,1421.56877788388,1416.64991369041,,1422.93082436736,1422.29997489,1417.23851176201,,1409.1479249804404,1413.78242006802,,1412.99484361426,,1416.80365039456,,1413.03145139842,1412.0324520453796,,1416.02648281768,1412.4306314440698,,,1408.96915178948,1413.02717880103,,1406.24808574168,1406.0929741023801,1412.79523228263,,1397.99908070591,,1417.92449168285,1397.95514511788,1414.3271261887198,1402.4802640911905,1406.23480546173,,1397.4962834722305,1395.6600551182196,,1405.22486433082,1399.00690592113,1396.3177225647598,1400.8135414419598,1387.6860113904902,1388.46251366603,,1398.82599847986,1389.0657205847,1396.14027158284,1442.79006933491,1398.86909512632,1377.30301101754,,1396.19213950987,1377.3522418518899,,1376.46655517446,1387.09991512288,1393.20512286139,1379.29469906449,,1390.07919400897,1394.5874131806604,1422.94135776796,,1411.0084472013598,1412.4198680320599,,,1394.3989316347504
9,,,,2457.4757783091395,,2453.6730183513,2496.9540435673803,2498.8806056991,2524.27270833994,2454.7583672327696,,2452.92196701723,2524.57557748589,2453.617696821111,2526.61700430064,2522.76468393357,2471.179439256471,,,2470.84848959617,2476.20095685452,,2469.72053026115,2470.441735452169,,,,2518.9327959888396,2518.16913933535,,,2518.02392867252,2519.77798301798,2511.90156723189,2506.08967908816,,2506.85579183867,,2503.69116400714,,2511.74692769099,2504.48193459175,2498.98781463916,2502.29728276987,2504.12951345339,,,2501.0249764545,2499.3559650513102,2499.1768496894397,2498.6403447030602,2500.9319610486104,2495.02315504028,2495.61881924568,,2495.98336055869,2482.1341663039602,,2676.28319590552,,2494.17913809146,,,2482.55951913267,2480.83396822046,,,2483.33343564325,2483.23318805201,2479.9018324451104,2483.4622102718804,2468.9931748466197,2468.70069517428,2465.05770372225,,2468.34325414514,2478.9764530963503,2515.9306091492103,2481.31649374496,2483.13075239602,2470.09395681491,2476.70644241189,2480.8929399765198,2480.84499201664,2481.23013546502,2471.3729604444297,2472.55743117475,2485.615068970389,2455.0348030548803,2470.06695295623,2470.875879698661,2525.92759513982,2509.06462122067,2504.04850765534,2500.80764076602,2494.40219051392,,
