,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97
0,2636.77828244503,2662.87156588203,2664.27191397044,2639.1819978072604,2636.26027180338,,,2902.1588098824604,2715.66289301258,,,2634.88218446952,2719.27092604844,,2719.86242262545,2715.545571409,2668.17499833568,,2669.6490546106697,2669.15873972156,,2910.8505560960803,2669.57638661321,2670.03487014672,2668.45941938958,,2704.60910639568,2715.59873022433,2710.44796740527,2706.94188254351,,2712.07136908357,2713.70535193883,,,,,,2700.67561375713,2697.00291323065,2705.3775646659196,2700.89008664607,,2696.24304193297,2700.75963664595,2697.08375523485,2696.89242696374,2698.54527931244,2694.2427212320604,2696.06995219641,2693.26217635387,2694.76711718795,2692.16847743268,2691.3707601821397,2693.20016966317,2691.43249250719,2681.24489427455,2693.4333224682896,,2683.7747561122,2693.66869070868,,2691.91584786877,,2678.14644719849,2675.29215632684,2683.86096831305,,,2678.3928912027104,2683.12819167693,2668.4012943100697,2669.00933199773,2665.0988135607604,2682.8329380541395,,,2711.42685071935,2681.35142268207,2661.18322443603,2673.2989739670497,2675.2264923357,2659.9536996352804,,2658.26770907414,,2670.2397817547603,,2637.57458260429,,2669.7772435979896,2717.67625205651,2704.3227470416896,,,,2683.4090252374,
1,2407.27359012841,2434.42565670288,2434.4363122092604,2411.2360080452104,2408.84153359732,2406.25767004989,2445.63371004458,2448.29626313396,2482.98572801148,2408.278312093,2407.12707506024,2406.10400773285,,,2485.58003073159,2482.63713037642,2435.87078163469,,2434.27101345299,2434.60199456721,2439.62675353881,2436.81169526925,2433.20942855827,2435.34003920199,2432.72469943441,2434.15048787102,2470.17819064489,2478.4619906695802,,2469.6700884196202,,2478.89530959644,2478.38632659884,2473.4885508725197,2467.94619573226,,,,2464.66088329667,2467.30897492988,,2464.88357763588,2460.8682400429398,,2465.5907535972196,2463.2206358106896,2463.087488975031,2461.76929533457,2462.20334120569,2461.3579652393696,2460.7777781538502,2461.52721355214,2456.84561882839,2458.3340795968898,2458.0543493565,2458.94924414012,,2458.1005709233605,,,,2449.53244119623,2456.5291164558303,2446.09002721663,2443.80403154325,,2446.74404266088,,2446.34151646292,,2447.2680948104503,,2432.42390329812,2429.8125329068,,,2442.4593001838502,2469.66399086846,2444.4752045128603,,2435.90561413614,,2430.360544044,2428.7447076145104,2430.17847580375,,,2433.72763869369,2408.4216875552397,2434.56897213669,2432.07645895001,2485.24113643087,2470.63362230068,2464.8914090048397,,2457.14572942612,2444.81940382557,
2,2407.2102761515303,2435.77634625281,2434.4738704849,,,,2445.34203047833,2448.18627623657,2482.71513967237,2408.24373338321,,,2485.6048459323897,2407.29600012697,2485.27183494926,2482.36664134768,2436.019839992531,,2434.1236093938,,,2436.49599259338,2433.02356536818,2435.24428394998,2432.3523424799,2434.06596371655,2470.2974424982103,2478.3404482081,,2469.9614853053,2473.52752327011,2479.04777150374,2478.08796539998,2473.37356171882,2467.75345222177,,2467.7164741458605,2470.2498797685103,2464.53549035054,2467.19591074992,,2465.14462412644,2460.79964403783,2462.99385271862,,2463.0743364718,,,2462.10034405948,,2460.61309805853,,,2458.10926484395,2457.87360021433,2458.6427169643107,2444.04992302251,2457.70832344076,,,2456.6379070082603,,2456.52303233989,2446.0040373959,2443.90886308647,,2446.7343762432997,,2446.48631548354,,2447.3146415012197,2432.78887973044,,2429.4784771823,,,2442.34079852143,2469.66446455259,2444.42104598747,,2436.06264290947,2440.4944620831398,2430.0655723137397,2428.5190961249104,,2434.86512976566,,2433.91881489397,2408.48190080738,2434.644148980861,,,2470.63507159785,,2462.24368673774,2457.15269367283,2445.03334708404,2440.6017272713502
3,,2562.74127738796,2563.8080132102696,,,2525.57077872355,,2584.69578001071,,,2524.5396637794397,,2610.7674726613395,2524.356695734,,2608.65268946252,2542.66797248381,,2540.79169871401,2541.70517382017,2547.09229145744,2545.498711369,2541.6322417586803,,2540.36770948427,,2588.1834932675,2603.85655079338,,2591.48078061691,2593.31936969125,2603.10491276028,2601.91078963495,2592.62060749399,2587.38974734417,,2586.72440051552,2589.46351802993,,,2592.581889574861,2585.0289719654397,2576.7905872563197,,,2580.34580464164,,2580.3513584687603,,2576.15157307897,,2579.39017287324,2572.553967008131,2572.966766298,,2573.3596872543803,2557.26241513132,,,2560.52408615183,2571.36296270285,2563.4434136902105,2570.3151715179397,,2555.1524742811803,,,2559.16181623762,,2554.39937591992,2556.69582067359,2540.29801517395,2540.91267890201,,,2541.1031062404604,2553.31429102322,,2554.99610162326,,2544.21345862222,,2557.69952768784,2558.52637606238,2558.82872730208,2542.98853153251,,,2527.49805999065,,,2610.19135417286,,2582.6576760228,2579.3059849601,2572.4564301348,,2553.27839440727
4,,2030.3618168143805,,,1982.0645481118106,1981.2080934168,,2051.75813083439,,,1976.2557655998496,1981.43576664445,2149.52608423438,1978.4180604053101,2154.56482313443,2148.73985407573,,,2059.11740493682,2061.31868911025,2064.60723569766,2063.84706508658,,2058.31695140915,,,2124.37350578089,,2137.9896313035197,,2125.2745083737,2142.05738492167,2138.8639534858,,,2113.96450805387,2117.49391014948,2122.2240404307604,2114.69132876469,2115.30297266916,2124.00599753685,,2108.0455430268803,2107.68459182468,2119.12330317453,2112.5255090116298,2112.07207838662,2111.70403754058,,2100.6840386559,2104.78605688678,2106.25077305076,,,,2101.49286882104,2079.54734398405,,2107.6145470614497,2086.3679836899,,2086.7925252856,2095.29891507195,,2075.6981464455607,2070.34935804858,2084.74997845877,2085.46740721308,2083.65305251957,,2080.85088833815,2061.05276403119,2061.4517143164107,2055.30629052915,2080.85657145243,2061.79653475753,2073.9387039713197,,2080.45597621905,,,2067.81395950962,2025.71397532875,,,2062.78870620441,2062.2713083968397,2026.63813797031,,2062.9199719090802,2062.66385351713,2144.8813554111302,2123.78408089803,2112.7290590943803,2106.51222739611,2103.53840470638,,2074.7331908204897
5,,2485.1396060865,2485.454759134,2457.2891788519,2455.59324826562,2453.8133544842003,2496.88572119246,,2523.98179398741,,2453.31979285783,2453.171414589611,,2453.51903217581,,2522.73591235073,2471.07052193339,2472.7755843246,,2470.71220388867,2476.07246855279,2472.7798056047304,2469.670364988481,2470.51948679203,2467.5142412105397,,2509.0459804046,,2518.09516073255,2509.2436160715397,2511.48964416962,,2519.52861396887,2684.57147441285,2621.14096880841,2501.8360616662303,2506.85857326428,2508.73631348549,2503.78984473298,,2511.84036265925,2504.44653135985,2613.1645404345604,2502.32463784096,,2616.008540290761,,2616.15115891359,2613.6790127794,2499.2376863261397,,2501.0220147464997,2495.0958470091,2495.7776739552696,2495.99757658033,,2482.3895620741396,,2499.32489242891,2485.2389702268,2494.38337225064,,2494.0861649898,,2659.94281417945,2473.9575125276,2484.46305462137,,,2480.11654366719,,2469.06292045298,,2465.1784046625,2482.73688433821,2468.32125036837,2479.18269503969,2515.84269821399,2481.4831347755803,,2470.11901349108,2476.72692094328,2663.97613777504,2480.9778325849497,,,2472.49416575468,2485.59439180305,2455.12835785867,2469.84439983932,2470.79679278375,,2509.1641461666395,2504.16994816575,,2494.36774705602,,2478.5142363805107
6,1054.38208070974,1066.45712919184,,1056.11630037408,,1052.01281413926,1058.15037280745,,1098.91750009091,1056.17168895593,1052.58479300694,1053.6163366467,1094.97589623253,1056.24787407759,,1095.8227489011801,1084.9686134664998,1092.08245600876,1088.06769087291,1080.31835971486,,1081.1747500789,,,1087.3179366354,1084.93690145284,,1096.21799277606,1093.60215649003,1094.09837840629,,1093.71038102592,,1096.0671713935699,,1099.2232956904,1098.6870982541802,1096.55099235019,1098.45005021516,1098.0173273779699,1100.74720178016,,1099.66663768763,,1101.5471528222802,1100.48947038314,1100.32390993846,1096.63649767737,,,1100.83524951953,1100.10474298539,1100.83722007736,,1101.63071190852,,,1101.87189333593,,,1108.3875980681598,1093.65476521235,,1091.5674480590599,1091.26936883128,,1092.35385665574,,,1089.267652039,1094.0806758928802,1079.36925036664,1082.78988042682,1079.8363397400801,1091.8947504534501,1081.48006532577,1089.70496075083,1153.87287866175,1086.80700798286,1059.9807969943402,1085.5169076636998,1086.74461067315,,1059.98297817569,1057.26325264368,,1085.89563701798,1062.24605493675,1054.0050825683802,,1088.74308740411,,1097.71010488263,1099.3044339902099,1099.84393377588,1099.89906885036,1090.2219268353501,1085.7559123400802
7,2454.64503570381,2485.1396060865,2485.4545618242,,2455.59324826562,2453.8133544842003,,,,,2453.31979285783,,2524.53480121188,2453.51903217581,2526.6125357017,,2471.07052193339,2472.7755843246,,2470.71220388867,2476.07246855279,2472.7798056047304,,,2467.5142412105397,,,2518.79077397311,2518.09516073255,2509.24358711781,,2517.7970440971803,,2511.8508267993398,2682.54071862074,,,2508.7363017082002,2503.78984417433,2505.515686228189,2511.84036265925,2504.44653135985,,,,2501.1333142323997,2677.5361431662,2678.44590639443,,,2498.67593151744,,,2495.7776739552696,2495.99757658033,2496.17044322333,2661.76193912302,2674.6085948505397,2676.40926453606,,2673.84232735486,2665.83438626672,2672.47411977594,2662.58486101802,,2654.9463547524,2664.6943004376103,,2483.29468572846,,2662.0787915385604,,,2465.1784046625,,2468.32125036837,2479.18269503969,,2481.4831347755803,2483.50438303684,,2476.72692094328,2480.78228436306,,2481.30826438494,2471.3394714773003,2472.49416575468,2485.59439180305,2455.12835785867,,,2525.86640989213,2509.16416098665,2504.16994816575,2500.9158320287697,2494.36774705602,2482.31284479761,2478.5142363805107
8,,1383.31834592332,1382.99955731767,1363.09546178931,1365.03873787601,1361.5683452049302,1388.2078840881195,1390.03906265984,1425.4872345717804,1368.3114602684698,1360.41042469036,1362.0889222980802,,1363.2057359094804,,,,,1393.6547250399499,1386.1288747218396,1399.00381903388,1390.90252104611,1389.9227958013098,1393.3829142205402,1392.24096449717,1389.5081919305499,1417.87451423143,,1421.56877788388,,,1422.93082436736,1422.29997489,1417.23851176201,1419.36669644704,1409.1479249804404,,,,,,1412.65001552562,1413.03145139842,1412.0324520453796,1416.5559103017804,1416.02648281768,1412.4306314440698,1412.98420254835,1410.55680153832,1408.96915178948,1413.02717880103,1413.57033834578,1406.24808574168,1406.0929741023801,1412.79523228263,,,1410.40136184757,1417.92449168285,1397.95514511788,1414.3271261887198,1402.4802640911905,1406.23480546173,1403.8894868821399,1397.4962834722305,,,1405.22486433082,1399.00690592113,,1400.8135414419598,,,,,,1396.14027158284,,1398.86909512632,1377.30301101754,1390.99582474306,1396.19213950987,1377.3522418518899,1375.12357756358,1376.46655517446,1387.09991512288,,1379.29469906449,1362.08860010512,1390.07919400897,,1422.94135776796,1418.09578467697,,1412.4198680320599,1410.13695447868,,
9,,2485.18756453964,2485.57647171999,,2455.5446014876397,2453.6730183513,2496.9540435673803,2498.8806056991,,2454.7583672327696,2453.0469009465696,,2524.57557748589,2453.617696821111,2526.61700430064,,2471.179439256471,2472.7902441303,2470.54894812702,2470.84848959617,2476.20095685452,2472.6507699418803,2469.72053026115,2470.441735452169,2467.45509933912,2470.39610909588,,,2518.16913933535,2509.2350293841396,,2518.02392867252,2519.77798301798,2511.90156723189,,2501.80646182805,2506.85579183867,2508.7000804308605,2503.69116400714,,,,2498.98781463916,2502.29728276987,2504.12951345339,,2502.0804599532003,2501.0249764545,2499.3559650513102,,,2500.9319610486104,2495.02315504028,,,2495.98336055869,2482.1341663039602,,2676.28319590552,2485.02622030115,2494.17913809146,,2494.0300660432604,2482.55951913267,,2473.78732007792,,2483.33343564325,,2479.9018324451104,2483.4622102718804,,2468.70069517428,2465.05770372225,2482.61845723959,2468.34325414514,2478.9764530963503,,2481.31649374496,,,2476.70644241189,2480.8929399765198,2480.84499201664,,2471.3729604444297,2472.55743117475,2485.615068970389,2455.0348030548803,2470.06695295623,,,2509.06462122067,2504.04850765534,2500.80764076602,2494.40219051392,,
